Year;CoarseSand_gperkg;LightSand_gperkg;CoarseLimestone_gperkg;LightLimestone_gperkg;Clay_gperkg;Corg_gperkg;OrganicMatter_gperkg;NitrogenTot_gparkg;pH_water;CaTot_gparkg;CaAct_gparkg
2016;NA;NA;NA;NA;NA;16.81;29.08;1.51;8.2;NA;NA
2017;NA;NA;NA;NA;NA;16.82;29.1;1.54;8.1;NA;NA
2015;NA;NA;NA;NA;NA;16.83;29.12;1.59;7.6;NA;NA
1961;116;54;129;165;495;16.86;29;;7.5;12;NA
2017;NA;NA;NA;NA;NA;16.93;29.29;1.53;8.45;NA;NA
2015;NA;NA;NA;NA;NA;16.98;29.38;1.41;8.4;NA;NA
2017;NA;NA;NA;NA;NA;17.06;29.51;1.5;8.4;NA;NA
2014;NA;NA;NA;NA;NA;17.093023255814;29.4;;7.4;NA;NA
2016;NA;NA;NA;NA;NA;17.1;29.5;1.7;8.08;23;NA
1989;NA;NA;NA;NA;NA;17.2;30;;7.9;4;NA
2015;NA;NA;NA;NA;NA;17.24;29.83;1.54;8.2;NA;NA
2015;NA;NA;NA;NA;NA;17.37;30.05;2.02;8;NA;NA
2004;94;98;113;322;373;17.4;30;;8.24;394;NA
2015;NA;NA;NA;NA;NA;17.41;30.11;1.64;7.98;NA;NA
1989;NA;NA;NA;NA;NA;17.44;30;;8;150;NA
1999;NA;NA;NA;NA;NA;17.44;30;;7.96;102;NA
2001;184;89;80;380;267;17.44;30;;8.19;47;NA
2014;NA;NA;NA;NA;NA;17.6162790697674;30.3;;8.1;NA;NA
1989;NA;NA;NA;NA;NA;17.8;31;;8;131;NA
2015;NA;NA;NA;NA;NA;17.81;30.81;1.31;8.2;NA;NA
2005;NA;NA;NA;NA;NA;17.9;30.8;;8.27;386;NA
2019;NA;NA;NA;NA;NA;17.9;30.8;1.5;7.88;NA;NA
2015;NA;NA;NA;NA;NA;17.906976744186;30.8;;7.9;NA;NA
1962;NA;NA;NA;NA;NA;18.02;31;;8;165;NA
1975;NA;NA;NA;NA;NA;18.02;31;;7.8;430;NA
1992;NA;NA;NA;NA;NA;18.2;31.3;;8.3;166;67
2016;NA;NA;NA;NA;NA;18.2;31.49;1.57;8.4;NA;NA
2019;NA;NA;NA;NA;NA;18.3;31.5;1.7;7.99;NA;NA
1963;347;153;105;156;207;18.6;32;;6.6;NA;NA
1992;NA;NA;NA;NA;NA;18.6;32;;8.30;220;108
2014;NA;NA;NA;NA;NA;18.7209302325581;32.2;;7.7;NA;NA
2015;NA;NA;NA;NA;NA;18.76;32.46;1.69;8.08;NA;NA
2012;NA;NA;NA;NA;367;18.9;32.5;;8.4;428;NA
2019;NA;NA;NA;NA;NA;18.9;32.5;2.1;7.83;NA;NA
2016;NA;NA;NA;NA;NA;18.94;32.77;1.79;7.9;NA;NA
2017;NA;NA;NA;NA;NA;18.96;32.8;1.69;8.5;NA;NA
2016;NA;NA;NA;NA;NA;18.97;32.82;1.71;8.1;NA;NA
2014;NA;NA;NA;NA;NA;19.0116279069767;32.7;;8.4;NA;NA
2015;NA;NA;NA;NA;NA;19.0116279069767;32.7;;8.1;NA;NA
1964;6;12;118;338;493;19.1;33;2;7.9;290;190
1962;77;45;75;105;555;19.19;33;;7.8;110;NA
1979;NA;NA;NA;NA;NA;19.19;33;;7.7;300;NA
2016;NA;NA;NA;NA;NA;19.22;33.25;1.73;8.2;NA;NA
2016;NA;NA;NA;NA;NA;19.41;33.58;1.75;8.1;NA;NA
1998;NA;NA;NA;NA;NA;19.53;33.6;;8.02;0;0
1998;NA;NA;NA;NA;NA;19.59;33.7;;8.09;392.2;143.3
1960;29;6;75;185;671;19.6;34;2.1;7.2;0;0
1961;NA;NA;NA;NA;NA;19.65;33.8;;7.6;NA;NA
2002;NA;NA;NA;NA;372;19.65;33.8;;8.3;NA;NA
2009;146;72;102;363;317;19.71;33.9;2.2;7.97;30;NA
2017;NA;NA;NA;NA;NA;19.74;34.15;1.78;8.43;NA;NA
1975;NA;NA;NA;NA;NA;19.77;34;;7.7;110;NA
1977;NA;NA;NA;NA;NA;19.77;34;;7.6;430;NA
2012;NA;NA;NA;NA;NA;19.77;34;;7.9;NA;NA
2016;NA;NA;NA;NA;NA;19.91;34.44;1.91;8.3;NA;NA
2006;NA;NA;NA;NA;288;20.2;34.7;;8.02;161;NA
2013;NA;NA;NA;NA;NA;20.2;34.7;1.9;8.28;261;NA
1970;NA;NA;NA;NA;NA;20.35;35;;7.8;220;NA
1970;30;20;162;240;490;20.35;35;;7.4;23;NA
1992;NA;NA;NA;NA;NA;20.52;35.3;;8.3;473;161
2015;NA;NA;NA;NA;NA;20.6976744186047;35.6;;7.8;NA;NA
1958;86;54;54;200;570;20.9;36;12.2;8;23;NA
1989;NA;NA;NA;NA;NA;20.93;36;;8.2;451;NA
1964;142;71;76;154;520;21.5;37;;8.15;68;NA
1970;50;30;43;50;270;21.51;37;;7.5;420;141
1975;NA;NA;NA;NA;NA;21.51;37;;7.6;200;NA
1976;NA;NA;NA;NA;NA;21.51;37;;7.7;260;NA
1998;NA;NA;NA;NA;NA;21.51;37;;7.86;NA;NA
2012;NA;NA;NA;NA;357;21.63;37.2;;8.6;361;NA
1962;155;85;110;160;460;21.8;37.5;2.7;7.9;200;75
2012;NA;NA;NA;NA;351;21.98;37.8;;8.3;364;NA
1977;NA;NA;NA;NA;NA;22.09;38;;7.6;220;NA
1964;171;50;50;177;514;22.1;38;;7.9;70;NA
1999;NA;NA;NA;NA;NA;22.44;38.6;;8.5;387.8;119.2
2012;NA;NA;NA;NA;454;22.62;38.9;;8.6;389;NA
1975;NA;NA;NA;NA;NA;22.67;39;;7.7;NA;NA
1979;60;20;241;200;180;22.67;39;;7.7;260;NA
2008;NA;NA;NA;NA;395;22.7;39;2.4;8.23;273;NA
2014;NA;NA;NA;NA;NA;22.906976744186;39.4;;8.1;NA;NA
2016;NA;NA;NA;NA;NA;23.07;39.91;1.96;8.3;NA;NA
1979;50;40;210;240;420;23.26;40;;7.6;400;NA
1963;39;22;33;239;627;23.3;40;;7.3;0;0
2017;NA;NA;NA;NA;409;23.6;40.7;2.4;8.29;337;NA
1961;80;52;138;218;484;23.9;41;2.2;8.3;215;95
1962;NA;NA;NA;NA;NA;24.01;41.3;;7.7;NA;NA
2011;NA;NA;NA;NA;317;24.19;41.6;;8.2;254;NA
2013;NA;NA;NA;NA;377;24.19;41.6;;7.9;108;NA
1998;NA;NA;NA;NA;NA;24.77;42.6;;8.3;377.1;116.8
1957;345;90;150;175;195;25.8;44;2.8;7.9;0;0
2013;NA;NA;NA;NA;386;26.28;45.2;;8.3;364;NA
1963;10;5;95;310;535;26.4;46;2.4;8.3;400;265
2011;NA;NA;NA;NA;388;26.51;45.6;;8.2;164;NA
2000;NA;NA;NA;NA;NA;27.33;47;;7.5;50;NA
1960;118;82;145;240;367;28.2;48;2.2;7.2;400;150
2002;NA;NA;NA;NA;466;28.26;48.6;;8.4;NA;NA
